keys,en,de,it,ja,pl,uk,fr,es,pt_BR
TUTORIAL_SIGNAL_BYE,That's all! Have fun playing :),Das war's! Viel Spaß im Spiel!,,,,,C’est tout ! Amusez-vous bien :-),¡Eso es todo! Diviértase :),Isso é tudo! Tenha um bom jogo :)
,,,,,,,,,
TUTORIAL_HV_LIGHT_0,Hello! In this tutorial you will learn how the H/V signalling system works. This tutorial looks at the light signals. They work just like the lights shown at night for the form signals. Drive to the first signal.,"Hallo! Heute lernen Sie, wie das H/V Signalsystem funktioniert. Wir schauen uns nun die Lichtsignale an, diese funktionieren genau gleich wie die Lichter an den Formsignalen. Fahren Sie an das erste Signal.",,,,,Bonjour ! Dans ce tutoriel vous allez apprendre comment le système de signaux H/V fonctionne. Ce tutoriel concerne les signaux lumineux. Ils fonctionnent comme les feux nocturnes des signaux à sémaphores. Circulez jusqu’au premier signal.,¡Hola! En este tutorial aprenderá cómo funciona el sistema de señalización H/V. Este tutorial tiene en consideración las señales luminosas. Funcionan justo como las luces que se muestran de noche en la señales. Circule hasta la primera señal.,"Olá! Neste tutorial, você aprenderá como funciona o sistema de sinalização H/V. Este tutorial trata das luzes de sinalização. Elas funcionam assim como as luzes noturnas dos semáforos. Conduza até o primeiro sinal."
TUTORIAL_HV_LIGHT_1,You need to pay attention to multiple things at a signal. H/V signals are read top to bottom. The green light shows you that you can safely pass. But also pay attention to the board below the signal. The white-red-white board tells you this is a main signal.,"An einem Signal gibt es immer mehrere Dinge zu beachten. H/V Signale werden von oben nach unten gelesen. Das grüne Licht zeigt Ihnen an, dass Sie an diesem Signal sicher vorbei fahren können. Achten Sie außerdem auf das Weiß-Rot-Weiße Schild unter dem Signal, dieses Schild zeigt an, dass es sich um ein Hauptsignal handelt.",,,,,A un signal vous devez prêter attention à plusieurs choses. Les signaux H/V se lisent de haut en bas. Le feu vert montre que vous pouvez franchir le signal en sécurité. Mais faites aussi attention au panneau sous le signal. Le panneau blanc-rouge-blanc vous informe qu’il s’agit d’un signal principal.,Debe poner atención a diferentes cosas en una señal. Las señales H/V se leen de arriba abajo. La luz verde muestra que puede pasar de forma segura. Pero también preste atención al panel bajo la señal. El panel blanco-rojo-blanco indica que esta es una señal principal.,Você deve prestar atenção a várias coisas em um sinal. Os sinais H/V são lidos de cima para baixo. A luz verde indica que você pode passar com segurança. Mas note também a placa logo abaixo do sinal. A placa branca-vermelha-branca indica que este é um sinal principal.
TUTORIAL_HV_LIGHT_2,"This signal looks different, but works similar. The green lights show you that the NEXT main signal can be safely passed. The board below shows you that this is a presignal. Presignals always show the state of the NEXT signal.","Dieses Signal sieht anders aus, funktioniert aber ähnlich. Die grünen Lichter zeigen Ihnen an, dass Sie am NÄCHSTEN Hauptsignal sicher vorbeifahren können. Das Schild unter dem Signal zeigt Ihnen an, dass dies ein Vorsignal ist. Vorsignale zeigen immer den Zustand des NÄCHSTEN Signals an.",,,,,Ce signal est différent mais fonctionne de façon similaire. Les feux verts vous avertissent que vous pourrez franchir le PROCHAIN signal en toute sécurité. Le panneau inférieur montre que c’est un pré-signal. Les pré-signaux vous donnent des informations sur le signal SUIVANT.,"Esta señal presenta un aspecto diferente, pero funciona de forma similar. Las luces verdes indican que la SIGUIENTE señal puede ser rebasada con seguridad. El panel inferior muestra que esta es una señal previa. Las señales previas siempre muestran el estado de la SIGUIENTE señal.","Este sinal é diferente, mas funciona de modo similar. As luzes verdes indicam que o PRÓXIMO sinal principal pode ser passado com segurança. A placa logo abaixo indica que este é um pré-sinal. Pré-sinais sempre indicam o estado do PRÓXIMO sinal."
TUTORIAL_HV_LIGHT_3,Watch out! A yellow and green light tell you that you need to slow down at the next main signal! (40 km/h unless otherwise noted).,"Achtung! Dieses Vorsignal sagt Ihnen das am nächsten Hauptsignal eine Langsamfahrstelle folgt. ""Langsamfahrt"" bedeutet in der Regel 40 km/h, außer anderweitig angegeben. Fahren Sie an das nächste Hauptsignal.",,,,,Attention ! Un feu jaune et vert vous informe que vous devrez ralentir au prochain signal. (40 km/h sauf indications contraires),¡Cuidado! ¡Una luz amarilla y verde indican que necesita reducir la velocidad en la siguiente señal principal! (a 40 km/h a menos que se indice otra cosa).,"Atenção! Uma luz amarela e outra verde indicam que você deve reduzir no próximo sinal principal! (40 km/h, salvo indicação em contrário)."
TUTORIAL_HV_LIGHT_4,"Just like the presignal, the main signal also shows a yellow and a green light. You may pass this signal, but need to slow down. (40 km/h unless otherwise noted).","Ähnlich wie das Vorsignal, zeigt auch das Hauptsignal ein gelbes und ein grünes Licht. Sie dürfen weiterfahren, müssen die Geschwindigkeit aber reduzieren. Außer wenn anders angezeigt, ist die Geschwindigkeit hier auf 40 km/h zu begrenzen.",,,,,"Comme le pré-signal, le signal principal est un feu jaune et vert. Vous pouvez passer le signal mais à vitesse réduite (40 km/h sauf indications contraires)","Justo como la señal previa, la señal principal también muestra una luz amarilla y verde. Puede rebasar esta señal, pero necesita reducir la velocidad. (a 40 km/h a menos que se indique otra cosa).","Assim como o pré-sinal, o sinal principal também mostra uma luz amarela e outra verde. Você pode passar pelo sinal, mas deve reduzir (40 km/h, salvo indicação em contrário)."
TUTORIAL_HV_LIGHT_7,"If the presignal shows 2 yellow lights, you need to stop at the next main signal, so start braking!","Jetzt kommen wir auch schon zum letzten Signalbild des Vorsignals. Zwei orangene Lichter zeigen Ihnen an, dass Sie vor dem nächsten Signal anhalten müssen. Fahren Sie weiter.",,,,,"Si le pré-signal montre deux feux jaunes, vous devrez vous arrêter au prochain signal principal, donc commencez à freiner !","Si la señal previa muestra 2 luces amarillas, necesita detenerse en la próxima señal principal, ¡Así que empiece a frenar!","Se o pré-sinal mostrar duas luzes amarelas, você deve parar no próximo sinal principal - então comece a frear!"
TUTORIAL_HV_LIGHT_8,"At the main signal, the red light tells you that you need to stop. You may not pass this signal until it changes to green.","Am Hauptsignal zeigt Ihnen das rote Licht an, dass Sie hier anhalten müssen. Sie dürfen erst dann weiterfahren, wenn das Signal auf Grün wechselt.",,,,,"Au signal principal, le feu rouge vous indique que vous devez vous arrêter. Ne franchissez pas le signal jusqu’à ce qu’il passe au vert.","En la señal principal, una luz roja indica que debe detenerse. No debe rebasar la señal hasta que cambie a verde.","No sinal principal, a luz vermelha indica que você deve parar. Você não pode passar este sinal até ele ficar verde."
,,,,,,,,,
TUTORIAL_KS_0,Hello! Today we will learn how the Ks signalling system works. You will see this one most often on German tracks. Drive to the first signal.,"Hallo! Heute lernen Sie, wie das Ks Signalsystem funktioniert. Dieses System werden Sie auf deutschen Strecken am häufigsten sehen. Fahren Sie an das erste Signal.",,,,,Bonjour ! Aujourd’hui nous allons apprendre comment le système de signalisation Ks fonctionne. Vous le verrez le plus souvent sur des voies allemandes. Roulez jusqu’au premier signal.,¡Hola! Hoy aprenderemos cómo funciona el sistema de señalización Ks. Verá este sistema a menudo en vías alemanas. Circule hasta la primera señal.,Olá! Hoje vamos aprender como funciona o sistema de sinalização Ks. Você os verá com mais frequência nas vias alemãs. Conduza até o primeiro sinal.
TUTORIAL_KS_1,You need to pay attention to multiple things at a signal. Ks Signals are read top to bottom. The green light shows you that you can safely pass this signal. But look at the board below the signal! It tells you that this is a presignal. Presignals inform you about the NEXT signal. So you can expect a green light at the next signal.,"An einem Signal gibt es immer mehrere Dinge zu beachten. Ks Signale werden von oben nach unten gelesen. Das grüne Licht zeigt Ihnen, dass Sie problemlos an diesem Signal vorbeifahren können. Aber beachten Sie auch das Schild unter dem Signal! Dieses zeigt Ihnen an, dass es sich hier um ein Vorsignal handelt. Vorsignale zeigen den Zustand des NÄCHSTEN Signals an. Das heißt, bei grün können Sie am nächsten Signal fahrt erwarten.",,,,,Vous devez faire attention à plusieurs choses à un signal. Les signaux Ks se lisent de haut en bas. Le feu vert montre que vous pouvez franchir le signal. Mais regardez le panneau sous le signal ! Il vous dit que c’est un pré-signal. Les pré-signaux vous informent sur le signal suivant. Vous pouvez donc prévoir un feu vert au prochain signal.,Necesita poner atención a múltiples cosas en una señal. Las señales Ks se leen de arriba abajo. La luz verde indica que puede rebasar esta señal con seguridad. ¡Pero mire el panel bajo la señal! Indica que esta es una señal previa. Las señales previas informan sobre la SIGUIENTE señal. Así que puede esperar una luz verde en la siguiente señal.,"Você deve prestar atenção a várias coisas em um sinal. Os sinais Ks são lidos de cima para baixo. A luz verde indica que você passar este sinal com segurança. Mas note a placa logo abaixo! Ela indica que este é um pré-sinal. Pré-sinais informam sobre o PRÓXIMO sinal. Logo, você pode esperar uma luz verde no próximo sinal."
TUTORIAL_KS_2,"This signal is also green, so you can safely pass it. But pay attention to the board below the signal: white-red-white tells you that it is a main signal. The yellow triangle tells you that is is ALSO a presignal. So you can expect green at the next signal too!","Auch hier ist ein grünes Licht zu sehen, Sie dürfen am Signal vorbeifahren. Beachten Sie aber das Schild unter dem Signal: das weiß-rot-weiße Schild zeigt Ihnen, dass es ein Hauptsignal ist. Das gelbe Dreieck zeigt, dass das Signal aber auch gleichzeitig ein Vorsignal ist. Bei Grün dürfen Sie also am nächsten Signal fahrt erwarten.",,,,,"Ce signal est également vert, vous pouvez le franchir en sécurité. Mais faites attention au panneau sous le signal : blanc-rouge-blanc vous indique que c’est un signal principal. Le triangle jaune vous informe que c’est AUSSI un pré-signal. Vous pouvez donc prévoir un feu vert au prochain signal !","Esta señal también es verde, así que puede rebasarla con seguridad. Pero ponga atención al panel bajo la señal: blanco-rojo-blanco indica que es una señal principal. El triángulo amarillo indica que es TAMBIÉN una señal previa. ¡Así que puede esperar que la siguiente señal también sea verde!","Este sinal também está verde, logo você pode passá-lo. Mas note a placa logo abaixo: o padrão branco-vermelho-branco indica que este é um sinal principal. O triângulo amarelo indica que este TAMBÉM é um pré-sinal. Logo, você pode esperar que o próximo sinal também esteja verde!"
TUTORIAL_KS_3,"Now the signal is green, but it is blinking! You can safely pass this signal, but need to expect a speed limit at the NEXT signal! The yellow number below the signal tells you what the speed limit will be. Mutliply the number by 10, so ""4"" means ""40km/h"".","Dies ist das zweite Signalbild im Ks-System. Das Licht ist grün, also dürfen Sie vorbeifahren, aber es blinkt! Das heißt, dass am NÄCHSTEN Signal eine Geschwindigkeitsbeschränkung einzuhalten ist, also fangen Sie schon einmal an zu Bremsen. In diesem Fall wird unter dem Signal eine gelbe Zahl aufleuchten, diese gibt die Geschwindigkeit am nächsten Signal an. Sie müssen die Zahl mit 10 multiplizieren, eine ""4"" bedeutet also 40 km/h.""",,,,,"Maintenant le signal est vert, mais il clignote ! Vous pouvez le franchir en sécurité, mais attendez vous à une limite de vitesse au PROCHAIN signal ! Le nombre jaune indique la future limitation. Multipliez le nombre par 10, donc 4 signifie 40 km/h.","Ahora la señal es verde, ¡pero está parpadeando! Puede rebasar esta señal de forma segura, ¡pero espere un límite de velocidad en la SIGUIENTE señal! El número amarillo bajo la señal indica cuál será el límite de velocidad. Multiplique por 10 el número, así que “4” significa “40 km/h”.","Agora o sinal está verde, mas ele está piscando! Você pode passá-lo com segurança, mas se atente ao limite de velocidade no PRÓXIMO sinal! O número em amarelo sob o sinal indica qual será o limite de velocidade. Multiplique o número por 10, ou seja, um ""4"" significa ""40 km/h""."
TUTORIAL_KS_4,"Again a green light, go! But the white number above the signal tells you that you cannot go over the displayed speed limit. Multiply the number by 10, so ""4""  means ""40km/h"".","Wieder ein grünes Licht, fahrt! Aber die weiße Zahl über dem Signal bedeutet, dass Sie hier nicht schneller fahren dürfen als angezeigt! Sie müssen die Zahl mit 10 multiplizieren. ""4"" bedeutet also 40 km/h.""",,,,,"Encore un feu vert, allez-y ! Mais le nombre en blanc sous le signal indique la limitation de vitesse. Multipliez le nombre par 10, donc 4 signifie 40 km/h.","De nuevo una luz verde, ¡vamos! Pero el número blanco sobre la señal indica que no puede exceder el límite de velocidad marcado. Multiplique el número por 10, así que “4” significa “40 km/h”.","Mais uma luz verde, siga em frente! Porém o número em branco acima indica que você não pode ultrapassar o limite de velocidade. Multiplique o número por 10, ou seja, ""4"" significa ""40 km/h""."
TUTORIAL_KS_5,"Watch out! A yellow light means you need to stop at the next signal! You will only ever see yellow lights at presignals. Yellow lights never blink, but they may display a yellow and/or white number.","Achtung! Ein gelbes Licht! Sie werden am nächsten Signal anhalten müssen! Gelbe Lichter werden Sie nur an Vorsignalen, oder an kombinierten Signalen wie diesem sehen. Gelbe Lichter blinken NIE, können aber auch eine gelbe und/oder weiße Zahl zeigen.",,,,,"Attention ! Un feu jaune signifie que vous devrez stopper au prochain signal ! Vous verrez des feux jaunes uniquement à des pré-signaux. Les feux jaunes ne clignotent jamais, mais il peuvent être complétés par un nombre jaune et/ou blanc.","¡Cuidado! ¡Una luz amarilla significa que debe parar ante la siguiente señal! Solo verá luces amarillas en señales previas. Las luces amarillas nunca parpadean, pero pueden mostrar amarillo y/o número blanco.","Atenção! Uma luz amarela significa que você deve parar no próximo sinal! Você só verá luzes amarelas nos pré-sinais. As luzes amarelas nunca piscam, mas podem mostrar um número amarelo e/ou branco."
TUTORIAL_KS_6,"You need to stop at a red signal. You may not pass the signal until it turns green or yellow. See the yellow triangle is missing? This is ONLY a main signal, not also a presignal. Main signals will never display yellow. Red signals never display a number.","An einem roten Signal müssen Sie anhalten. Sie dürfen erst weiterfahren, wenn es auf gelb oder grün wechselt. Beachten Sie, dass der gelbe Pfeil am Schild fehlt, das heißt dieses Signal ist NUR ein Hauptsignal. Hauptsignale zeigen nie gelb! An roten Signalen werden Sie nie eine gelbe oder weiße Zahl sehen.",,,,,"Vous devez stopper à un feu rouge. Ne franchissez pas le signal jusqu’à ce qu’il passe au vert ou au jaune. Constatez vous l’absence du triangle jaune ? C’est UNIQUEMENT un signal, mais pas également un pré-signal. Les signaux principaux ne montrent jamais de jaune. Les signaux rouges ne montrent jamais un nombre.","Necesita detenerse ante la señal roja. No puede rebasar la señal hasta que se cambie a verde o amarillo. ¿Ve que falta el triángulo amarillo? Esta es SOLO señal principal, no es señal previa. Las señales principales nunca muestran amarillo. Las señales rojas nunca muestran un número.","Você deve parar nos sinais vermelhos. Você não pode passar um sinal até que ele fique verde ou amarelo. Viu que o triângulo amarelo está faltando? Este é um sinal principal APENAS, e não também um pré-sinal. Os sinais principais nunca ficam amarelos. Sinais vermelhos nunca mostram um número."
,,,,,,,,,
TUTORIAL_HL_0,"Hello! Today you will learn how the Hl signalling system works. You will not see this very often, and only on routes in East Germany. It works quite different from the H/V and Ks Systems. Drive to the first signal.","Hallo! Heute lernen Sie, wie das Hl Signalsystem funktioniert. Dieses System werden Sie nur selten, und nur im Osten Deutschlands sehen. Es funktioniert anders als das H/V und Ks System. Fahren Sie an das erste Signal.",,,,,"Bonjour ! Aujourd’hui nous allons apprendre comment le système de signalisation HI fonctionne. Vous ne le verrez pas souvent, et uniquement sur des voies Est-allemandes. Il fonctionne assez différemment des systèmes H/V et Ks. Roulez jusqu’au premier signal.",¡Hola! Hoy aprenderá cómo funciona el sistema de señalización Hl. No lo verá muy a menudo y solo en rutas en Alemania del este. Funciona bastante diferente de los sistemas H/V y Ks. Circule hasta la siguiente señal.,"Olá! Hoje você irá aprender como funciona o sistema de sinalização HI. Eles não são vistos com muita frequência, e apenas em rotas da Alemanha Oriental. Eles funcionam de um jeito bem diferente dos Sistemas H/V e Ks. Conduza até o primeiro sinal."
TUTORIAL_HL_1,"Hl signals are always main and presignal combined. Hl signals are read bottom to top! Lights at the bottom of the signal tell you what to do at THIS signal, lights at the top tell you what to expect at the NEXT signal. If there is NO light in the bottom half of the signal, you can go max speed at this signal. A green light at the top means you can go max speed at the NEXT signal.","Hl-Signale sind immer gleichzeitig Haupt- und Vorsignale. Anders als beim H/V oder Ks System werden sie aber von unten nach oben gelesen! Lichter in der unteren Hälfte des Signals zeigen Geschwindigkeitsbeschränkungen an DIESEM Signal. Leuchtet unten gar kein Licht, bedeutet das Höchstgeschwindigkeit. Das oberste Licht informiert Sie über das NÄCHSTE Signal. Dieses grüne Licht sagt Ihnen, dass Sie mit Höchstgeschwindigkeit am Signal vorbeifahren dürfen und auch am nächsten Signal noch Höchstgeschwindigkeit gilt.",,,,,"Les signaux HI combinent toujours un signal principal et un pré-signal. Les signaux HI se lisent de bas en haut ! Les feux inférieurs indiquent ce qu’il faut faire à CE signal, les feux supérieurs informent de ce qu’il faudra faire au signal SUIVANT. S’il n’y a pas de feux dans la moitié inférieure, vous pouvez aller à la vitesse maximale. Un feu vert dans la partie supérieure signifie que vous pourrez accélerer à la vitesse maximale au signal SUIVANT.","Las señales Hl siempre son señales principales y previas combinadas. ¡Las señales Hl se leen de abajo arriba! Las luces en la parte inferior de la señal indican qué hacer en ESTA señal, las luces en la parte superior indican qué esperar en la SIGUIENTE señal. Si NO hay luz en la mitad inferior, puede ir a máxima velocidad en esta señal. Una luz verde indica que puede ir a máxima velocidad en la SIGUIENTE señal.","Os sinais HI são sempre uma combinação de principal e pré-sinal. Sinais HI são lidos de baixo para cima! As luzes de baixo indicam o que você deve fazer NESTE sinal, enquanto as luzes de cima indicam o que esperar no PRÓXIMO sinal. Se NÃO houver uma luz na parte de baixo do sinal, você poderá conduzir à velocidade máxima. Uma luz verde na parte de cima indica que poderá ir à velocidade máxima no PRÓXIMO sinal."
TUTORIAL_HL_2,"There is no light on the bottom, meaning you can go max speed here. But the green light at the top is now blinking, this means you need to slow down to 100 km/h before the next signal.","Unten leuchtet kein Licht, also dürfen Sie an diesem Signal mit Höchstgeschwindigkeit vorbeifahren. Das grüne Licht oben blinkt jetzt. Denken Sie daran, dass das obere Licht eine Information für das NÄCHSTE Signal ist. Ein grünes Blinklicht bedeutet 100 km/h (ein Standlicht heißt Höchstgeschwindigkeit). Das heißt an diesem Signal dürfen Sie mit Höchstgeschwindigkeit vorbeifahren, müssen vor dem nächsten Signal aber auf 100 km/h abbremsen.",,,,,"Il n’y a pas de feux dans la partie inférieure, circulez à la vitesse maximale. Mais le feu vert supérieur clignote, ce qui signifie que vous devrez ralentir à 100 km/h avant le prochain signal.","No hay luz en la parte inferior, lo que significa que puede ir a máxima velocidad aquí. Pero la luz verde en la parte de arriba de la señal está parpadeando, eso significa que tiene que reducir a 100 km/h antes de la siguiente señal.","Não há luz na parte de baixo, logo você pode seguir à velocidade máxima aqui. Mas a luz verde de cima está piscando agora, isso significa que você deve reduzir a 100 km/h antes do próximo sinal."
