keys,en,de,it,ja,pl,uk,es,bg,fr,pt_BR
ENGINE_OFF,Engines off,Motoren aus,Motori spenti,,Silnik Wyłączony,,Motores apagados,Изключване на двигателя,Moteurs éteints,Motores desligados
,,,,,,,,,,
ARRIVAL:,Arrival:,Ankunft:,Arrivo:,到着:,Przyjazd:,Прибуття:,Llegada:,Пристигане:,Arrivée :,Chegada:
DEPARTURE:,Departure:,Abfahrt:,Partenza:,出発:,Odjazd:,Відправлення:,Salida:,Тръгване:,Départ :,Partida:
STATION:,Station:,Station:,Stazione:,駅:,Stacja:,Станція:,Estación:,Гара:,Gare :,Estação:
,,,,,,,,,,
END_OF_YOUR_TRAIN_NOT_IN_STATION,"The end of your train hasn't reached the station yet. Please drive a bit forward, and try again.",Das Zugende hat noch nicht die hintere Bahnsteigkante erreicht. Bitte fahren Sie etwas vorwärts und halten Sie noch einmal an.,La coda del treno non ha raggiungo la banchina. Prova ad avanzare ancora.,列車の後ろがまだ駅に入っていません。もう少し前進してください。,Koniec twojego Pociągu nie jest na Stacji Podjedź Trochę Bliżej i Spróbuj ponownie,"Кінець поїзда не дістався станції. Будь ласка, під’їдьте трішки вперед, і спробуй знову.","El final del tren no ha llegado a la estación todavía. Por favor, conduce un poco hacia delante y vuelva a intentarlo.","Влакът не е спрял на перона. Моля, продължете напред и опитайте отново.",La fin de votre train n'a pas encore atteint la gare. Veuillez avancer un peu et réessayer.,A traseira do seu trem ainda não chegou à estação. Vá um pouco para a frente e tente outra vez.
FRONT_OF_YOUR_TRAIN_NOT_IN_STATION,"The front of your train is not in the station, please reverse a bit (change reverser with %s and %s).","Sie sind über das Stationsende hinaus gefahren, bitte fahren Sie zurück und halten noch einmal an (Richtung mit %s und %s wählen).","La testa del treno è oltre il limite della banchina, meglio tornare indietro (cambio di marcia con %s e %s).",,,,"La parte delantera de su tren no está en la estación, por favor da un poco de marcha atrás (cambia de marcha con %s y %s).","Влакът не е спрял на перона. Моля, върнете се назад (сменете скоростите с %s и %s).","L'avant de votre train n'est pas en gare, veuillez faire un peu marche arrière (changer l'inverseur avec %s et %s).","A frente do seu trem não está na estação, tente voltar um pouco (mude o reversor com %s e %s)."
YOU_OVERRUN_RED_SIGNAL_DEPRECATED,You overrun a red signal. The game is over!,Sie haben ein rotes Signal überfahren! Das Spiel ist vorbei!,Sei passato col rosso. Il gioco è finito!,赤信号を通り過ぎてしまいました。ゲームオーバーです。,Przegapiłeś Czerwone Światło Koniec Gry,Ви проїхали на червоне світло. Гра закінчена!,¡Sobrepasaste una señal roja. Fin del juego!,Преминахте през червен сигнал. Симулацията приключи!,Vous avez dépassé un signal rouge. Le jeu est terminé !,Você passou por um sinal vermelho. Fim de jogo!
FAILED_SCENARIO_DROVE_OVER_LAST_RAIL,"You drove beyond the end of the track!\n\nThe game is over, you failed the scenario.","Sie sind über das Ende des Gleis hinausgefahren!\n\nDas Spiel ist vorbei, Sie haben das Szenario nicht bestanden.","Hai guidato oltre il termine del tracciato!\n\nIl gioco è finito, hai fallito lo scanario.",,,,"¡Conduciste más allá del final de la pista!\n\nFin del juego, has fallado el escenario.",Преминахте през края на линията!\n\nСимулацията приключи.,"Vous avez dépassé la fin de la voie!\n\nLe jeu est terminé, vous avez échoué le scénario.","Você ultrapassou o final do trilho!\n\nFim de jogo, você falhou o cenário."
FAILED_SCENARIO_DROVE_OVER_RED_SIGNAL,"You overran a red signal!\n\nThe game is over, you failed the scenario.","Sie haben ein rotes Signal überfahren!\n\nDas Spiel ist vorbei, Sie haben das Szenario nicht bestanden.","Sei passato col rosso!\n\nIl gioco è finito, hai fallito lo scenario. ",,,,"¡Has sobrepasado una señal roja!\n\nEl juego ha terminado, has fallado el escenario.",Преминахте през червен сигнал!\n\nСимулацията приключи.,"Vous avez dépassé un signal rouge !\n\nLa partie est terminée, vous avez échoué au scénario.","Você passou por um sinal vermelho!\n\nFim de jogo, você falhou o cenário."
HINT_OPEN_DOORS,"Hint: You have to open the doors with %s or %s, when arriving at the station.",Tipp: Sie müssen noch die Türen mit %s oder %s öffnen.,"Suggerimento: arrivato in stazione, aprire le porte con %s oppure %s.",ヒント:駅に到着したら %s か %s でドアを開けてください。,Porada: Kiedy zatrzymasz Się Na Stacji Naciśnij Przycisk %s Lub %s Aby Otworzyć Dzwi,"Підказка: Ви можете відкрити двері за допомогою %s чи %s, коли прибудете на станцію.","Pista: Tienes que abrir las puertas con %s o %s, al llegar a la estación.","Съвет: Вратите се отварят с %s и %s, когато влакът е спрял на гарата.","Conseil : en arrivant à la gare, vous devez ouvrir les portes avec %s ou %s.",Dica: Você deve abrir as portas com %s ou %s após chegar na estação.
YOU_ARE_LATE_1,You are,Sie haben,Viaggi con,あなたは,Masz,Ви прибули на,Has llegado,Движите се с,Vous avez,Você está
YOU_ARE_LATE_2,minutes late!,Minuten Verspätung!,minuti di ritardo!,分後です!,Minut Spóźnienia,хвилин(и) пізніше!,minutos tarde!,минути закъснение!,minutes de retard !,minutos atrasado!
,,,,,,,,,,
YOU_ARE_LATE_2_ONE_MINUTE,minute late.,Minute Verspätung.,minuto di ritardo.,分後です,Minute Spóźnienia,хвилину пізніше.,minuto tarde.,минута закъснение.,minute de retard,minutos atrasado.
WELCOME_TO,Welcome to,Willkommen bei,Benvenuto a,Welcome to,Witamy W,Ласкаво просимо до,Bienvenido a,Добре дошли в,Bienvenue à,Boas-vindas a
SCENARIO_FINISHED,Scenario successfully finished.,Szenario erfolgreich beendet.,Scenario completato con successo.,シナリオを無事完走しました,Scenariusz Ukończony,Сценарій успішно закінчено.,Escenario finalizado exitosamente.,Направлението е приключено успешно.,Scénario terminé avec succès.,Cenário concluído com sucesso.
SCENARIO_SCORE,You scored %s points.,Sie haben %s Punkte erzielt.,Hai totalizzato %s punti.,,,,,Събрахте %s точки.,Vous avez obtenu %s points.,Você marcou %s pontos.
YOU_CAN_DEPART,You can now depart.,Sie können jetzt abfahren.,Ora è possibile partire,出発できます,ODJAZD!,Ви готові до відправлення.,Ya puedes partir.,Може да тръгвате.,Vous pouvez maintenant partir.,Você pode partir agora.
YOU_DEPARTED_EARLIER,You departed earlier than allowed! Please wait for the depart message next time!,Sie sind zu früh abgefahren! Bitte warten sie das nächste Mal auf die Abfahrts-Nachricht,Sei partito prima del previsto! Attendi il permesso di partenza la prossima volta!,許可された時間よりも早く出発しました。次の出発許可が出るまで待ってください。,Odjechałeś za wcześnie! Następnym razem poczekaj na Komunikat o możliwości Odjazdu!,"Ви відправилися занадто швидко! Будь ласка, почекайте наступного разу сповіщення про відправлення!","¡Te has marchado antes de lo permitido! Por favor, espera el mensaje de salida la próxima vez.","Тръгнахте прекалено рано! Моля, изчакайте разрешението за тръгване на следващата гара!",Vous êtes parti plus tôt que prévu ! Veuillez attendre le message de départ la prochaine fois !,Você partiu mais cedo do que permitido! Espere pelo anúncio de partida da próxima vez!
YOU_MISSED_A_STATION,You missed a station! Please drive further on to the next station.,Sie haben eine Station verpasst! Bitte fahren Sie weiter zur nächsten Station.,Hai mancato una stazione! Puoi solo procedere alla prossima.,停車駅を通り過ぎました! 次の駅まで運転してください。,Przegapiłeś stacje,"Ви пропустили станцію! Будь ласка, їдьте далі до наступної.","¡Te ha saltado una estación! Por favor, sigue conduciendo hasta la siguiente estación.","Пропуснахте гарата! Моля, продължете към следващата гара.",Vous avez manqué une station ! Veuillez poursuivre votre route jusqu'à la prochaine station.,Você não parou na estação! Siga em frente até a próxima estação.
YOU_ARE_DRIVING_TO_FAST,You are driving too fast! The current Limit is:,Sie fahren zu schnell! Das momentan geltende Limit ist:,Stai andando troppo veloce! Il limite è:,速度が出すぎています! 現在の制限速度:,Jedziesz za szybko tutaj Wolno:,Ви їдете занадто швидко! Ваша швидкість:,¡Estas conduciendo muy rápido! El limite actual es:,Движите се прекалено бързо! Ограничението е:,Vous roulez trop vite ! La limite actuelle est :,Você está rápido demais! O limite atual é de:
HINT_F2,Hint: Problems with the train? Press [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] to see what is wrong.,Tipp: Probleme mit der Bedienung des Zuges? Mit [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] kann man den Status des Zuges einsehen.,Suggerimento: problemi con il treno? Usa [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] per capire cosa non va.,ヒント:問題がありますか? [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img]で何が問題か見ることができます。,Porada: Problem Z Pociągiem?Naciśnij[img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img]Aby Zobaczyć Diagnostyke,"Підказка: Щось трапилося з поїздом? Натиснувши [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img], ви зможете побачити в чому проблема.",Pista: ¿Problemas con el tren? Pulsa [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] para ver qué ocurre.,Съвет: Имате проблеми с влака? Натиснете [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img].,Conseil : des problèmes avec le train ? Appuyez sur [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] pour voir ce qui ne va pas.,Dica: Problemas com o trem? Aperte [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] para ver o que está acontecendo.
HINT_ADVANCED_DRIVING,"Hint: Try to set the acceleration to zero with %s, and and accelerate again with %s.","Tipp: Versuchen Sie, die Beschleunigung auf Null mit %s zu setzen. Dann beschleunigen Sie wieder mit %s.",Suggerimento: prova ad azzerare l’acceleratore con %s e ridare velocità con %s.,ヒント:%sキーで力行をゼロにして、再度%sキーで力行を上げてみてください,Porada: Spróbuj ustawić przyspieszenie na 0 za pomocą przycisku %s a potem rozpędź ponownie pociąg do prędkości (=acceleration) używając %s,"Підказка: Спробуйте знизити швидкість до нуля за допомогою %s, і знову додати швидкості (=прискорення) за допомогою %s","Pista: Intenta poner la aceleración a cero con %s, y vuelve a acelerar con %s.",Съвет: Намалете ускорението до нула с %s и ускорете отново с %s.,"Conseil : Essayez de mettre l'accélération à zéro avec %s, et accélérez à nouveau avec %s.",Dica: Tente zerar a aceleração com %s e depois comece a acelerar com %s.
HINT_REVERSER_NEUTRAL,Hint: The reverser is neutral. Select a direction with %s and %s first.,Tipp: Die Richtungswahl steht auf Neutral. Wählen Sie mit %s und %s eine Richtung.,Suggerimento: L’invertitore di marcia è in folle. Seleziona una direzione con %s preceduto da %s. ,,,,Pista: La marcha esta en posición neutral. Selecciona primero una dirección con %s y %s.,Съвет: Локомотивът е на неутрална скорост. Изберете посока на движение с %s или %s.,Conseil : l'inverseur est au point mort. Sélectionnez d'abord une direction avec %s et %s.,Dica: O reversor está em neutro. Selecione uma direção com %s e %s primeiro.
THE_NEXT_STATION_IS_1,The next station is,Die nächste Station ist,La prossima stazione è,次の駅は,Następna Stacja:,Наступна станція,La siguiente estación es,Следващата гара е,La station suivante est,A próxima estação é
THE_NEXT_STATION_IS_2,It is,Sie ist,Si trova a,あと,jest,Відстань:,esta a,Намира се на,Elle est à,Ela está a
THE_NEXT_STATION_IS_3,away.,entfernt.,di distanza.,です,Z tąd,.,de lejos.,разстояние.,.,de distância.
TRAIN_INFORMATION,Train Information:,Zug-Informationen:,Informazione treno:,列車情報,Informacje o pociągu,Інформація про поїзд:,Información del Tren:,Информация за влака:,Informations sur le train :,Informações do Trem:
PRESS_F2_TO_CLOSE,(Press [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] to close this window),"(Drücken Sie [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img], um das Fenster zu schließen.)",(Premi [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] per chiudere questa finestra),([img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img]でウィンドウを閉じます),(Naciśnij [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] aby Zamknąć to okno),"(Натисни [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img], щоб закрити вікно)",(Pulsa [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] para cerrar esta ventana),(Натиснете [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] за да затворите този прозорец),(Appuyez sur [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] pour fermer cette fenêtre),(Pressione [img=40]res://Data/Controller_Icon_Textures/trainInfoAbove_texture.tres[/img] para fechar esta janela)
TRAIN_INFO_PANTOGRAPH,Pantograph (press [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] and wait a few seconds),Pantograf ([img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] drücken und ein paar Sekunden warten),Pantografo (premi [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] e attendi qualche secondo),パンタグラフ: ([img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img]を押して数秒待つ),"Pantograf(naciśnij [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] i poczekaj pare sekund)",Пантограф (натисни [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] і зачекай декілька секунд),Pantógrafo (pulsa [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] y espera unos segundos),Пантограф (натиснете [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] и изчакайте няколко секунди),Pantographe (appuyez sur [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] et attendez quelques secondes),Pantógrafo (pressione [img=40]res://Data/Controller_Icon_Textures/pantograph_texture.tres[/img] e aguarde alguns segundos)
TRAIN_INFO_SIFA,SiFa (every 30 seconds you have to press %s),SiFa (alle 30 Sekunden müssen Sie %s drücken),VACMA (ogni 30 secondi devi premere %s),SiFa: (30秒ごとにスペースキーを押す %s),SiFa (Co 30 sekund musisz nacisnąć %s),SiFa (кожні 30 секунд ти мусиш натискати %s),Dispositivo HM (cada 30 segundos tienes que pulsar %s),"SiFa (всеки 30 секунди, трябва да натискате %s)","Veille automatique (toutes les 30 secondes, vous devez appuyer sur %s)",SiFa (você deve pressionar %s a cada 30 segundos)
TRAIN_INFO_ENFORCED_BREAKING,"Enforced Breaking (check engine, red signal, speed limit, SiFa)","Zwangsbremsung (Motoren aus, überfahrenes rotes Signal, Geschwindigkeitslimit, SiFa)","Arresto forzato (controlla pantografo, segnaletica, limite velocità o VACMA)",強制ブレーキ (パンタグラフや赤信号、制限速度、SiFaを確認),"Hamowanie Awaryjne (Check Engine,  czerwone światło, Limit Prędkości, SiFa) ","Аварійне гальмування (перевірте пантограф, червоний сигнал, перевищення швидкості, SiFa)","Interrupción forzada (chequear el motor, señal roja, límite de velocidad, dispositivo HM","Аварийна спирачка (проверете двигателя, червения сигнал, ограничението на скоростта и SiFa)","Freinage forcé (vérification du moteur, signal rouge, limite de vitesse, SiFa)","Frenagem Forçada (verificar motor, sinal vermelho, limite, SiFa)"
TRAIN_INFO_BRAKES_1,"Brakes (release with [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], apply with [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], check Enforced Breaking)","Bremsen (Lösen: [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], Betätigen: [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], Überprüfen: Zwangsbremsung.)","Freni (rilascia con [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], applica con [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], controlla arresto forzato)",ブレーキ ([img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img]で解除、[img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img]でかける。強制ブレーキを確認),Hamulec (opuść hamulec używając [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img] a hamuj przyciskiem [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img] sprawdź wymuszone hamowanie),"Гальмування (відпустити на [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], додати на [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img]; перевірте аварійне гальмування)","Frenos (liberarlo con [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], aplicarlos con [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], comprobar la interrupción forzada)","Спирачки (освобождаване: [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], прилагане: [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], проверете аварийната спирачка)","Freins (desserrer avec [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], appliquer avec [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], vérifier le freinage d’urgence)","Freios (solte com [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], aplique com [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], verificar Frenagem Forçada)"
TRAIN_INFO_BRAKES_2,"Brakes (release with [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], apply with [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], check Enforced Breaking)","Bremsen (Lösen: [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], Betätigen: [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], Überprüfen: Zwangsbremsung.)","Freni (rilascia con [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], applica con [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], controlla arresto forzato)",ブレーキ ([img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img]で解除、[img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img]でかける。強制ブレーキを確認),Hamulec (opuść hamulec używając [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img] a hamuj przyciskiem [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img] sprawdź wymuszone hamowanie),"Гальмування (відпустити на [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], додати на [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img]; перевірте аварійне гальмування)","Frenos (liberarlo con [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], aplicarlos con [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], comprobar la interrupción forzada)","Спирачки (освобождаване: [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], прилагане: [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], проверете аварийната спирачка)","Freins (desserrer avec [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], appliquer avec [img=40]res://Data/Controller_Icon_Textures/brake+_texture.tres[/img], vérifier le freinage d’urgence)","Freios (solte com [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], aplique com [img=40]res://Data/Controller_Icon_Textures/brake-_texture.tres[/img], verificar Frenagem Forçada)"
TRAIN_INFO_DOORS,"Doors (close with [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], open right with [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], open left with [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img])","Türen (Schließen: [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], Rechte Seite öffnen: [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], Linke Seite öffnen: [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img])","Porte (chiusura con [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], apertura a destra con [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], apertura a sinistra con [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img]",ドア  ([img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img]で閉める。[img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img]で右のドア、[img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img]で左のドアを開ける),Dzwi (Zamknij przyciskiem [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img] otwórz [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img] Lub [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img],"Двері (закрити на [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], відкрити справа на [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], відкрити зліва на [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img])","Puertas (cerrarlas con [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], abrir las derechas con [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], abrirar las izquierdas con [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img])","Врати (затваряне: [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], отваряне отляво: [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], отваряне отдясно: [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img])","Portes (fermer avec [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], ouvrir à droite avec [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], ouvrir à gauche avec [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img])","Portas (feche com [img=40]res://Data/Controller_Icon_Textures/doorClose_texture.tres[/img], abra à direita com [img=40]res://Data/Controller_Icon_Textures/doorRight_texture.tres[/img], abra à esquerda com [img=40]res://Data/Controller_Icon_Textures/doorLeft_texture.tres[/img])"
TRAIN_INFO_ACCELERATION_1,"Acceleration (Apply: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Release: [img=40]res://Data/Controller_Icon_Textures/acc-_texture.tres[/img], check doors)","Beschleunigung (Erhöhen: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Verringern: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; Überprüfen: Türen)","Accelerazione (Applica con [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Rilasica con: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], controlla porte) ",力行 ([img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]上矢印キー、[img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]右矢印キー),"Gaz (przyspiesz: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], zwolnij: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], sprawdż drzwi)",Прискорення (додати: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; відпустити: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; перевірте двері),"Aceleración (Aplicar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Liberar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], comprobar las puertas)","Ускорение (прилагане: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], освобождаване: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], проверете вратите)","Accélération (Appliquer : [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Libérer : [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], vérifier les portes)","Aceleração (Aplicar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Soltar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], verificar portas)"
